014550 , 28.54, 38.40, 21.549, 169.892
014553 , 29.12, 33.86, 19.613, 132.273
014557 , 29.05, 31.89, 18.409, 102.157
014600 , 29.38, 30.84, 18.127, 81.470
014604 , 29.24, 30.20, 17.609, 66.502
014659 , 28.91, 28.16, 16.130, 27.340
014703 , 28.97, 28.19, 16.202, 27.340
014707 , 29.14, 29.05, 16.844, 28.141
014710 , 29.10, 33.15, 19.182, 36.535
014714 , 29.20, 37.38, 21.750, 72.333
014718 , 29.18, 39.25, 22.818, 112.628
014721 , 28.92, 40.10, 22.975, 140.722
014725 , 28.57, 35.44, 19.928, 128.599
014728 , 28.72, 32.69, 18.533, 100.621
014732 , 29.31, 31.44, 18.403, 80.428
015519 , 28.86, 27.82, 15.889, 24.090
015522 , 28.92, 27.81, 15.933, 24.400
015526 , 28.93, 27.84, 15.964, 24.400
015530 , 28.92, 32.22, 18.468, 32.249
015533 , 29.07, 37.37, 21.591, 68.070
015537 , 28.93, 38.81, 22.247, 104.551
015540 , 29.20, 38.85, 22.598, 108.175
015544 , 29.23, 40.61, 23.665, 119.432
015548 , 29.46, 41.45, 24.467, 136.882
015551 , 28.65, 41.90, 23.651, 151.149
015555 , 29.18, 40.37, 23.462, 137.651
015559 , 29.47, 41.74, 24.645, 134.912
015602 , 29.58, 42.53, 25.261, 146.335
015606 , 29.57, 42.75, 25.375, 157.526
015609 , 29.51, 39.02, 23.086, 142.699
015643 , 28.86, 30.85, 17.622, 34.555
015647 , 28.89, 35.48, 20.298, 48.068
015651 , 28.86, 39.72, 22.684, 91.953
015654 , 28.87, 40.97, 23.405, 128.904
015658 , 28.87, 41.01, 23.432, 126.095
015701 , 28.78, 42.60, 24.226, 131.773
015705 , 28.89, 43.26, 24.754, 143.608
015755 , 29.36, 30.83, 18.096, 35.140
015758 , 29.48, 31.82, 18.800, 35.140
015802 , 29.47, 32.60, 19.251, 35.140
015806 , 28.49, 32.08, 17.956, 36.063
015809 , 27.48, 31.97, 16.930, 44.412
015813 , 27.32, 32.07, 16.838, 52.707
015817 , 28.12, 32.29, 17.716, 54.036
015820 , 27.00, 32.31, 16.665, 54.347
015824 , 27.76, 32.24, 17.337, 53.767
015922 , 27.93, 29.81, 16.176, 30.260
015925 , 27.80, 29.99, 16.156, 30.260
015929 , 27.88, 30.13, 16.305, 29.937
015933 , 27.84, 30.24, 16.337, 29.613
015936 , 27.91, 30.20, 16.370, 30.259
015940 , 27.80, 29.98, 16.158, 29.808
020013 , 27.54, 29.32, 15.576, 29.280
020017 , 27.68, 29.31, 15.694, 29.279
020021 , 27.68, 29.30, 15.689, 28.702
020024 , 27.67, 29.28, 15.671, 28.320
020028 , 27.67, 29.27, 15.664, 28.320
020032 , 27.66, 29.28, 15.658, 28.338
020035 , 27.67, 29.26, 15.659, 29.272
020039 , 27.66, 29.21, 15.617, 29.280
020042 , 27.73, 29.19, 15.668, 29.726
020046 , 27.69, 29.15, 15.613, 30.260
020050 , 27.69, 29.08, 15.580, 30.260
020053 , 27.68, 29.22, 15.646, 30.333
020057 , 28.22, 35.09, 19.351, 42.557
020101 , 28.28, 39.60, 21.910, 80.987
020104 , 28.57, 43.60, 24.512, 113.981
020108 , 28.25, 39.96, 22.078, 123.874
020112 , 28.25, 35.50, 19.617, 106.273
020220 , 28.26, 29.30, 16.191, 32.220
020224 , 28.28, 29.22, 16.166, 32.220
020227 , 28.26, 29.27, 16.181, 32.199
020231 , 28.35, 32.37, 17.976, 38.224
020235 , 28.43, 37.97, 21.185, 74.458
020238 , 28.64, 39.72, 22.412, 116.210
020242 , 28.28, 35.54, 19.664, 118.404
020246 , 28.29, 33.04, 18.290, 103.134
020249 , 28.28, 31.89, 17.644, 89.191
020253 , 28.30, 31.24, 17.303, 78.006
020257 , 28.27, 30.79, 17.030, 69.214
020300 , 28.31, 30.51, 16.902, 62.231
020304 , 28.27, 30.26, 16.734, 56.603
020307 , 28.30, 30.07, 16.654, 52.202
020311 , 28.27, 29.90, 16.529, 48.516
020315 , 28.32, 29.79, 16.517, 45.652
020318 , 28.28, 29.69, 16.428, 43.411
020322 , 28.33, 29.62, 16.436, 41.874
020326 , 28.27, 29.55, 16.342, 40.610
020329 , 28.30, 29.42, 16.301, 39.545
020626 , 28.10, 28.14, 15.415, 28.320
020630 , 28.10, 28.12, 15.401, 28.320
020634 , 28.13, 28.14, 15.440, 28.916
020637 , 28.08, 28.43, 15.558, 29.432
020641 , 27.33, 33.37, 17.523, 74.142
020644 , 27.15, 36.73, 19.099, 156.100
020648 , 27.52, 35.39, 18.783, 160.314
020652 , 27.25, 32.81, 17.154, 129.675
020655 , 27.31, 31.24, 16.385, 103.572
020659 , 27.64, 30.41, 16.248, 84.584
020703 , 27.51, 29.91, 15.864, 70.017
020706 , 27.68, 29.56, 15.824, 59.163
020710 , 27.65, 29.37, 15.698, 51.179
020836 , 28.19, 27.96, 15.390, 28.320
020840 , 28.21, 27.95, 15.408, 28.320
020843 , 27.84, 28.97, 15.648, 29.339
020847 , 27.99, 35.39, 19.272, 51.007
020851 , 27.90, 38.11, 20.653, 88.217
020854 , 28.20, 36.74, 20.240, 92.547
020858 , 28.25, 36.63, 20.229, 82.449
020902 , 28.02, 37.34, 20.364, 94.827
020905 , 28.15, 33.68, 18.499, 91.408
020909 , 27.56, 31.88, 16.956, 75.460
021043 , 28.20, 28.56, 15.739, 29.280
021047 , 28.16, 28.81, 15.834, 29.280
021050 , 28.27, 28.94, 16.007, 29.287
021054 , 28.26, 29.29, 16.191, 30.027
021058 , 28.03, 34.76, 18.970, 58.448
021101 , 27.71, 38.74, 20.775, 108.781
021105 , 27.94, 40.75, 22.128, 143.849
021108 , 27.95, 38.88, 21.126, 137.480
021112 , 27.76, 35.48, 19.077, 109.898
022146 , 28.84, 27.61, 15.753, 26.752
022150 , 28.93, 27.61, 15.828, 27.334
022153 , 28.76, 27.78, 15.781, 27.322
022157 , 28.67, 27.87, 15.752, 27.124
022201 , 28.57, 28.01, 15.748, 27.340
022204 , 28.91, 29.20, 16.725, 28.627
022208 , 29.00, 34.70, 19.965, 49.658
022212 , 29.05, 37.40, 21.579, 91.240
022215 , 28.92, 33.50, 19.199, 98.812
022219 , 28.94, 31.11, 17.849, 81.705
022223 , 28.94, 30.08, 17.256, 66.872
022226 , 28.98, 29.50, 16.964, 56.023
022230 , 29.00, 29.11, 16.755, 48.058
022233 , 28.92, 28.87, 16.540, 42.098
022237 , 28.89, 28.71, 16.428, 37.864
022241 , 28.88, 28.60, 16.349, 35.031
022244 , 28.81, 28.52, 16.248, 32.703
022248 , 28.78, 28.43, 16.167, 31.347
022252 , 28.71, 28.42, 16.095, 30.115
022255 , 28.53, 28.36, 15.905, 29.280
022259 , 28.48, 28.28, 15.815, 28.502
022303 , 28.36, 28.27, 15.708, 28.320
022306 , 28.27, 28.23, 15.613, 27.803
022310 , 28.29, 28.24, 15.632, 27.340
022313 , 28.29, 28.20, 15.611, 27.340
022317 , 28.28, 28.19, 15.597, 27.340
022321 , 28.25, 28.16, 15.552, 26.949
022324 , 28.26, 28.13, 15.550, 26.360
022328 , 28.22, 28.12, 15.509, 26.360
022332 , 28.21, 28.11, 15.493, 26.360
022335 , 28.08, 28.11, 15.384, 26.360
022339 , 27.98, 28.12, 15.305, 26.360
022343 , 27.86, 28.12, 15.207, 26.360
022346 , 27.79, 28.15, 15.166, 26.383
022350 , 27.74, 28.15, 15.120, 27.317
022354 , 27.69, 28.15, 15.083, 27.340
022357 , 27.67, 28.12, 15.046, 27.340
022401 , 27.67, 28.14, 15.054, 28.159
022404 , 27.67, 28.15, 15.060, 28.320
022408 , 27.67, 28.16, 15.067, 28.396
022412 , 27.65, 28.14, 15.045, 29.274
022415 , 27.66, 28.15, 15.051, 29.280
022419 , 27.63, 28.14, 15.029, 29.280
022423 , 27.65, 28.15, 15.043, 29.280
022426 , 27.60, 28.15, 15.004, 29.280
022430 , 27.64, 28.15, 15.033, 29.280
022434 , 27.52, 28.14, 14.937, 29.280
022437 , 27.45, 28.11, 14.861, 29.280
022441 , 27.47, 28.12, 14.884, 29.280
022445 , 27.54, 28.15, 14.956, 29.280
022448 , 27.43, 28.15, 14.863, 29.280
022452 , 27.44, 28.13, 14.865, 29.280
022455 , 27.27, 28.38, 14.852, 29.556
022459 , 27.36, 28.48, 14.978, 31.180
022503 , 27.25, 28.40, 14.849, 32.139
022506 , 27.39, 28.28, 14.902, 31.596
022510 , 27.27, 28.26, 14.791, 31.240
022514 , 27.23, 28.20, 14.731, 30.946
022517 , 27.29, 28.15, 14.749, 30.228
022521 , 27.45, 28.11, 14.861, 29.296
022525 , 27.50, 28.11, 14.899, 29.280
022528 , 27.51, 28.09, 14.896, 29.280
022532 , 27.55, 28.04, 14.907, 29.280
022535 , 27.66, 27.99, 14.967, 29.046
022539 , 27.64, 28.02, 14.973, 28.320
022543 , 27.62, 32.65, 17.417, 42.078
022546 , 27.64, 38.28, 20.444, 98.060
022550 , 27.66, 39.18, 20.960, 127.102
022554 , 27.66, 40.98, 21.916, 132.466
022557 , 27.68, 41.90, 22.431, 144.406
022601 , 27.66, 37.15, 19.871, 126.414
022605 , 27.67, 33.88, 18.132, 98.686
022608 , 27.76, 32.40, 17.425, 78.965
022612 , 27.78, 31.50, 16.956, 64.834
022615 , 27.86, 30.90, 16.712, 54.357
022619 , 27.84, 30.48, 16.462, 46.761
022623 , 27.93, 30.13, 16.352, 41.323
022626 , 27.87, 29.87, 16.159, 37.438
022722 , 28.19, 28.22, 15.533, 26.755
022725 , 27.10, 28.16, 14.602, 26.373
022729 , 26.61, 28.11, 14.183, 25.503
022733 , 28.21, 28.04, 15.458, 26.288
022736 , 28.27, 27.98, 15.473, 26.360
022740 , 28.56, 27.95, 15.708, 26.360
022744 , 28.71, 27.92, 15.816, 26.360
022747 , 28.77, 27.86, 15.832, 26.360
022751 , 28.76, 27.82, 15.803, 26.360
022754 , 28.78, 27.78, 15.798, 26.360
022758 , 28.81, 27.73, 15.799, 26.360
022802 , 28.75, 27.66, 15.702, 26.360
022805 , 28.79, 27.62, 15.712, 26.360
022809 , 28.55, 27.58, 15.483, 26.173
022926 , 29.55, 26.89, 15.941, 25.045
022929 , 28.88, 26.89, 15.377, 25.012
